"ObjectApiName","FieldApiName","Label","Type","IsCustom","IsNillable","IsCalculated","Length","Precision","Scale","ReferenceTo"
"ActiveFeatureLicenseMetric","ActiveUserCount","有効ユーザー数","int","False","True","False","0","0","0",""
"ActiveFeatureLicenseMetric","AssignedUserCount","割り当てユーザー数","int","False","True","False","0","0","0",""
"ActiveFeatureLicenseMetric","FeatureType","Primary Grain","picklist","False","False","False","40","0","0",""
"ActiveFeatureLicenseMetric","Id","有効な機能ライセンスメトリクス ID","id","False","False","False","18","0","0",""
"ActiveFeatureLicenseMetric","MetricsDate","メトリクスの日付","date","False","False","False","0","0","0",""
"ActiveFeatureLicenseMetric","SystemModstamp","System Modstamp","datetime","False","False","False","0","0","0",""
"ActiveFeatureLicenseMetric","TotalLicenseCount","合計ライセンス件数","int","False","True","False","0","0","0",""
"ActivePermSetLicenseMetric","ActiveUserCount","有効ユーザー数","int","False","True","False","0","0","0",""
"ActivePermSetLicenseMetric","AssignedUserCount","割り当てユーザー数","int","False","True","False","0","0","0",""
"ActivePermSetLicenseMetric","DeveloperName","Permission Set License API 参照名","string","False","True","False","255","0","0",""
"ActivePermSetLicenseMetric","Id","有効な権限セットライセンスメトリクス ID","id","False","False","False","18","0","0",""
"ActivePermSetLicenseMetric","MasterLabel","Permission Set License マスター表示ラベル","string","False","True","False","255","0","0",""
"ActivePermSetLicenseMetric","MetricsDate","メトリクスの日付","date","False","False","False","0","0","0",""
"ActivePermSetLicenseMetric","PermissionSetLicenseId","Permission Set License ID","reference","False","False","False","18","0","0","PermissionSetLicense"
"ActivePermSetLicenseMetric","SystemModstamp","System Modstamp","datetime","False","False","False","0","0","0",""
"ActivePermSetLicenseMetric","TotalLicenses","合計ライセンス件数","int","False","True","False","0","0","0",""
"ActiveProfileMetric","ActiveUserCount","有効ユーザー数","int","False","True","False","0","0","0",""
"ActiveProfileMetric","AssignedUserCount","割り当てユーザー数","int","False","True","False","0","0","0",""
"ActiveProfileMetric","Id","有効なプロファイルメトリクス ID","id","False","False","False","18","0","0",""
"ActiveProfileMetric","MetricsDate","メトリクスの日付","date","False","False","False","0","0","0",""
"ActiveProfileMetric","ProfileId","プロファイル ID","reference","False","True","False","18","0","0","Profile"
"ActiveProfileMetric","SystemModstamp","System Modstamp","datetime","False","False","False","0","0","0",""
"ActiveProfileMetric","UserLicenseId","ユーザーライセンス ID","reference","False","False","False","18","0","0","UserLicense"
"ActualAmount__c","Amount__c","金額","currency","True","False","False","0","18","0",""
"ActualAmount__c","Budget__c","予算","reference","True","False","False","18","0","0","Budget__c"
"ActualAmount__c","BudgetAndActuals__c","予算と実績","reference","True","False","False","18","0","0","BudgetAndActuals__c"
